,refrigerator,aircon_cooler,aircon_heater,lightning,TV,dryer,water_heater,washing_machine,cooking_heater,microwave_oven,toiret
0:00,30,30,0,30,30,0,0,0,0,0,0
0:30,30,30,0,30,30,0,0,0,0,0,3
1:00,30,30,0,30,30,0,0,0,0,0,0
1:30,30,30,0,30,15,0,0,0,0,0,0
2:00,30,0,0,0,0,0,0,0,0,0,0
2:30,30,0,0,0,0,0,0,0,0,0,0
3:00,30,0,0,0,0,0,0,0,0,0,0
3:30,30,0,0,0,0,0,0,0,0,0,0
4:00,30,0,0,0,0,0,0,0,0,0,0
4:30,30,0,0,0,0,0,0,0,0,0,0
5:00,30,0,0,0,0,0,0,0,0,0,0
5:30,30,0,0,0,0,0,0,0,0,0,0
6:00,30,0,0,0,0,0,0,0,0,0,0
6:30,30,0,0,0,0,0,0,0,0,0,0
7:00,30,0,0,0,0,0,0,0,0,0,0
7:30,30,15,0,0,0,0,0,0,0,0,0
8:00,30,30,0,0,0,0,0,0,0,0,0
8:30,30,30,0,0,0,0,0,0,0,0,0
9:00,30,30,0,30,0,5,0,0,0,3,3
9:30,30,15,0,15,0,0,0,0,0,0,0
10:00,30,0,0,0,0,0,0,0,0,0,0
10:30,30,0,0,0,0,0,0,0,0,0,0
11:00,30,0,0,0,0,0,0,0,0,0,0
11:30,30,0,0,0,0,0,0,0,0,0,0
12:00,30,0,0,0,0,0,0,0,0,0,0
12:30,30,0,0,0,0,0,0,0,0,0,0
13:00,30,0,0,0,0,0,0,0,0,0,0
13:30,30,0,0,0,0,0,0,0,0,0,0
14:00,30,0,0,0,0,0,0,0,0,0,0
14:30,30,0,0,0,0,0,0,0,0,0,0
15:00,30,0,0,0,0,0,0,0,0,0,0
15:30,30,0,0,0,0,0,0,0,0,0,0
16:00,30,0,0,0,0,0,0,0,0,0,0
16:30,30,0,0,0,0,0,0,0,0,0,0
17:00,30,0,0,0,0,0,0,0,0,0,0
17:30,30,0,0,0,0,0,0,0,0,0,0
18:00,30,0,0,0,0,0,0,0,0,0,0
18:30,30,0,0,0,0,0,0,0,0,0,0
19:00,30,0,0,0,0,0,0,0,0,0,0
19:30,30,30,0,30,0,0,10,0,15,0,3
20:00,30,30,0,30,0,0,0,0,5,3,0
20:30,30,30,0,30,0,0,15,0,0,0,0
21:00,30,30,0,30,15,0,15,0,0,0,0
21:30,30,30,0,30,30,5,0,14,0,0,0
22:00,30,30,0,30,30,0,0,16,0,0,3
22:30,30,30,0,30,30,0,0,0,0,0,0
23:00,30,30,0,30,30,0,0,0,0,0,0
23:30,30,30,0,30,30,0,0,0,0,0,0
